Place,Action,Fullness,Energy,Health,Happiness,EarliestStartTime,LatestStartTime,ShortestExecutionTime,OutForNonDailyStimulation,Hedonism,EnviousPlace,Extraversion,Emoji,Importance
Bar,sip a cocktail,0.6,-1,-1,2.4,18:00,23:00,0:30,0.6,0.8,0.7,0.9,🍸,6
Bar,listen to live music,0,0.7,0,3,18:00,23:00,2:00,0.5,0.9,0.6,0.9,🎶,6
Bar,play a solo game of darts,0,0.5,0.1,1.4,18:00,23:00,1:00,0.4,0.7,0.3,0.6,🎯,5
Movie Theatre,watch a film,0,-0.6,0,4,12:00,23:00,2:00,0.5,0.9,0.3,0.7,🎬,5
Shopping Mall,do window shopping,-0.6,-1,0,3.6,10:00,21:00,1:00,0.3,0.6,0.5,0.5,🛍️,5
Shopping Mall,buy clothes,0,-0.6,0,2.6,10:00,21:00,1:00,0.5,0.7,0.6,0.6,👗,5
Shopping Mall,buy luxury goods,0,-1,-1,4,10:00,21:00,1:00,0.6,0.8,0.9,0.7,💎,7
Cafe,read a book,-0.2,0.3,0.5,1.4,8:00,21:00,1:00,0.3,0.4,0.2,0.3,📚,4
Park: Botanical Garden,sketch exotic plants,0,1,1,1.5,6:00,16:00,2:00,0.5,0.2,0.2,0.4,🎨,5
Park: Water Park,ride the thrilling water slides,-1.4,2,-0.6,4,6:00,16:00,2:00,0.8,0.9,0.7,0.9,💦,6
Park: Playground Park,play interactive games,-0.2,1.3,0.8,1.5,6:00,16:00,2:00,0.5,0.8,0.4,0.9,🎮,5
Park: Nature Reserve,take photos of wildlife,-0.3,0.9,0.8,2.1,6:00,16:00,2:00,0.7,0.5,0.3,0.5,📸,5
Home,play PC games,-1,1,-0.6,3,0:00,23:59,2:00,0.2,0.7,0.5,0.6,🖥️,4
Community Center,participate in fitness classes,-1,1,1.6,2,8:00,21:00,2:00,0.4,0.6,0.3,0.8,🏋️,5
Community Center,join social workshops,-1,1,1.6,2,10:00,20:00,2:00,0.5,0.4,0.5,0.7,👥,6
